Subject,Slope,Trial,Muscle,Mean_EMG,percent_stance
1,Downslope,2,PDIO3,42.9199916,40-60
1,Downslope,2,FDB,25.58632378,40-60
1,Downslope,2,EDB,19.25366518,40-60
1,Downslope,2,ABDH,13.0242878,60-80
1,Downslope,2,ABDM,30.72196703,60-80
1,Downslope,2,PDIO1,34.03468632,60-80
1,Downslope,2,PDIO3,40.14372852,60-80
1,Downslope,2,FDB,32.31198678,60-80
1,Downslope,2,EDB,46.71088401,60-80
1,Downslope,2,ABDH,21.09444642,80-100
1,Downslope,2,ABDM,3.265206763,80-100
1,Downslope,2,PDIO1,41.80530229,80-100
1,Downslope,2,PDIO3,14.17757422,80-100
1,Downslope,2,FDB,10.27534578,80-100
1,Downslope,2,EDB,18.51581636,80-100
1,Downslope,3,ABDH,9.348235058,0-20
1,Downslope,3,ABDM,22.93400799,0-20
1,Downslope,3,PDIO1,31.70454093,0-20
1,Downslope,3,PDIO3,37.06488203,0-20
1,Downslope,3,FDB,22.17535266,0-20
1,Downslope,3,EDB,31.03178284,0-20
1,Downslope,3,ABDH,11.26736108,20-40
1,Downslope,3,ABDM,29.45777046,20-40
1,Downslope,3,PDIO1,25.21119763,20-40
1,Downslope,3,PDIO3,40.74441699,20-40
1,Downslope,3,FDB,23.89732427,20-40
1,Downslope,3,EDB,36.64879788,20-40
1,Downslope,3,ABDH,12.50603911,40-60
1,Downslope,3,ABDM,30.79537861,40-60
1,Downslope,3,PDIO1,27.95529012,40-60
1,Downslope,3,PDIO3,44.91065598,40-60
1,Downslope,3,FDB,23.58876813,40-60
1,Downslope,3,EDB,32.66208517,40-60
1,Downslope,3,ABDH,16.90751583,60-80
1,Downslope,3,ABDM,38.43742247,60-80
1,Downslope,3,PDIO1,24.06698608,60-80
1,Downslope,3,PDIO3,32.82437954,60-80
1,Downslope,3,FDB,34.42676274,60-80
1,Downslope,3,EDB,71.97499407,60-80
1,Downslope,3,ABDH,16.82969907,80-100
1,Downslope,3,ABDM,4.312632181,80-100
1,Downslope,3,PDIO1,30.0410162,80-100
1,Downslope,3,PDIO3,10.15455911,80-100
1,Downslope,3,FDB,10.59198417,80-100
1,Downslope,3,EDB,36.24342606,80-100
1,Downslope,4,ABDH,10.85299618,0-20
1,Downslope,4,ABDM,24.11717937,0-20
1,Downslope,4,PDIO1,33.44483004,0-20
1,Downslope,4,PDIO3,21.64081871,0-20
1,Downslope,4,FDB,30.20889311,0-20
1,Downslope,4,EDB,12.33808777,0-20
1,Downslope,4,ABDH,12.72672523,20-40
1,Downslope,4,ABDM,43.42375977,20-40
1,Downslope,4,PDIO1,17.47196568,20-40
1,Downslope,4,PDIO3,28.77258211,20-40
1,Downslope,4,FDB,31.33048395,20-40
1,Downslope,4,EDB,34.39158787,20-40
1,Downslope,4,ABDH,15.76864575,40-60
1,Downslope,4,ABDM,47.28010998,40-60
1,Downslope,4,PDIO1,14.79325532,40-60
1,Downslope,4,PDIO3,41.11336033,40-60
1,Downslope,4,FDB,30.96928748,40-60
1,Downslope,4,EDB,33.37823886,40-60
1,Downslope,4,ABDH,18.17968292,60-80
1,Downslope,4,ABDM,35.61236352,60-80
1,Downslope,4,PDIO1,9.247683386,60-80
1,Downslope,4,PDIO3,19.89733818,60-80
1,Downslope,4,FDB,42.09673209,60-80
1,Downslope,4,EDB,43.5367281,60-80
1,Downslope,4,ABDH,28.53284706,80-100
1,Downslope,4,ABDM,2.896233483,80-100
1,Downslope,4,PDIO1,25.26066127,80-100
1,Downslope,4,PDIO3,7.474206321,80-100
1,Downslope,4,FDB,14.07436959,80-100
1,Downslope,4,EDB,17.9437425,80-100
1,Downslope,5,ABDH,16.37779532,0-20
1,Downslope,5,ABDM,16.57962022,0-20
1,Downslope,5,PDIO1,28.56877668,0-20
1,Downslope,5,PDIO3,15.58217421,0-20
1,Downslope,5,FDB,31.61095068,0-20
1,Downslope,5,EDB,11.26775191,0-20
1,Downslope,5,ABDH,21.59413372,20-40
